Ticker;Name;Sector;Price;Dividend Yield;1-Year Dividend Growth;5-Year Dividend Growth (Annualized);Dividends Per Share (TTM);Market Cap ($M);Trailing P/E Ratio;Payout Ratio;Beta;52-Week High;52-Week Low
AADI;Aadi Bioscience Inc;N/A;1,78;0;N/A;N/A;0;43,656031;0;N/A;1,183120281;11,94;1,55
AAN;Aarons Company Inc (The);Industrials;10,15;0,048413178;N/A;N/A;0,491393754;307,842263;33,01611573;1,627131635;1,118021737;15,77;6,64
AAON;AAON Inc.;Industrials;79,76;0,004000836;N/A;N/A;0,319106698;6548,296;38,63939766;0,156424852;1,368174424;83;51,11
AAT;American Assets Trust Inc;Real Estate;21,46;0,062441752;0,03125;0,033406483;1,289070047;1306,823568;26,38661648;1,986240443;1,400285615;24,97;15,28
ABCB;Ameris Bancorp;Financial Services;46,16;0,012863791;0;0,084471771;0,593792613;3187,443136;11,16864921;0,143775451;1,808634645;53,99;27,7
ABCL;AbCellera Biologics Inc;N/A;5,11;0;N/A;N/A;0;1482,769932;N/A;0;1,443593217;10,21;3,87
ABG;Asbury Automotive Group Inc;Consumer Cyclical;218,35;0;N/A;N/A;0;4493,069176;4,991189931;0;1,539389861;256,39;178,4
ABM;ABM Industries Inc.;Industrials;39,83;0,022596033;0,022727273;0,045639553;0,87809571;2503,75833;9,959261456;0,231687522;1,071437934;52,78;37,21
ABR;Arbor Realty Trust Inc.;Real Estate;12,21;0,140868141;0,075;0,089587431;1,608238299;2301,605049;7,048031139;1,065058476;1,633771617;16,74;9,22
ABSI;Absci Corp;N/A;4,36;0;N/A;N/A;0;405,21176;N/A;0;2,790185827;5,47;1,11
ABUS;Arbutus Biopharma Corp;Healthcare;2,89;0;N/A;N/A;0;484,639264;N/A;0;0,938018005;3,15;1,69
AC;Associated Capital Group Inc;Financial Services;32,88;0,006073671;N/A;N/A;0,199702304;86,825295;2,496917015;0,125598933;0,47799005;40,32;30,83
ACA;Arcosa Inc;Industrials;79,89;0,002500971;0;0;0,199802581;3895,433684;13,62992891;0,033980031;0,980475341;84,9;55,31
ACAD;Acadia Pharmaceuticals Inc;Healthcare;25,56;0;N/A;N/A;0;4196,450436;N/A;0;1,240777488;33,99;17,71
ACCD;Accolade Inc;N/A;12,715;0;N/A;N/A;0;984,237723;N/A;0;2,314914699;17,01;6,33
ACCO;Acco Brands Corporation;Industrials;6,3;0,046558413;0;0,045639553;0,293318004;598,031608;10,6033973;0,495385922;1,232042146;6,59;4,11
ACEL;Accel Entertainment Inc;Consumer Cyclical;10,03;0;N/A;N/A;0;850,576939;19,77120333;0;1,011720705;12,05;8,28
ACET;Adicet Bio Inc;N/A;2,77;0;N/A;N/A;0;209,100619;0;N/A;1,082966329;8,48;1,1
ACHR;Archer Aviation Inc;N/A;5,16;0;N/A;N/A;0;1312,017519;0;N/A;2,698078483;7,49;1,77
ACIW;ACI Worldwide Inc;Technology;30,01;0;N/A;N/A;0;3262,087;36,60289943;0;1,473138656;31,49;19,56
ACLS;Axcelis Technologies Inc;Technology;118,35;0;N/A;N/A;0;3875,661773;16,69104984;0;2,092454225;201;105,28
ACLX;Arcellx Inc;N/A;61,09;0;N/A;N/A;0;2974,239164;0;N/A;1,258369684;67,52;26,32
ACMR;ACM Research Inc;Technology;18,38;0;N/A;N/A;0;1021,670386;14,29749484;0;2,516664213;22,47;8,75
ACNB;ACNB Corp.;Financial Services;36,55;0,030449229;0,071428571;0,054577943;1,112919328;310,956727;0;N/A;0,910120846;48,55;25,67
ACRE;Ares Commercial Real Estate Corp;Real Estate;8,07;0,163568773;15,5;0;1,296058761;436,914303;126,4219627;20,50725888;1,638175974;10,91;6,83
ACRS;Aclaris Therapeutics Inc;Healthcare;1,17;0;N/A;N/A;0;82,829731;N/A;0;1,397241887;13,36;0,5902
ACRV;Acrivon Therapeutics Inc;N/A;3,64;0;N/A;N/A;0;80,787277;0;N/A;0,761293514;24;3,19
ACT;Enact Holdings Inc;;26,87;0,022400534;N/A;N/A;0,601902336;4291,22974;6,581549856;0,150100333;0,782567421;29,49;19,85
ACVA;ACV Auctions Inc;N/A;13,66;0;N/A;N/A;0;1860,040701;N/A;0;1,805236689;18,68;10,4
ADC;Agree Realty Corp.;Real Estate;57,31;0,050950968;0,016460905;0,010872121;2,861886562;5760,784981;36,66370712;1,683462684;0,618063512;71,65;52,05
ADEA;Adeia Inc;N/A;11,69;0,016912077;N/A;N/A;0,197702182;1252,849903;0;N/A;1,528856378;13,39;6,94
ADMA;Adma Biologics Inc;Healthcare;5,17;0;N/A;N/A;0;1168,252844;0;N/A;1,138606614;5,46;2,95
ADNT;Adient plc;Consumer Cyclical;33,16;0;N/A;N/A;0;3025,712684;14,20522387;0;1,533099363;46,51;30,11
ADPT;Adaptive Biotechnologies Corp;Healthcare;3,62;0;N/A;N/A;0;524,077359;N/A;0;2,336922347;10,38;2,61
ADTH;AdTheorent Holding Company Inc;N/A;2,79;0;N/A;N/A;0;246,194895;39,44798837;0;0,478716461;3,02;1,11
ADTN;ADTRAN Holdings Inc;Technology;6,2;0,042935059;N/A;N/A;0,266197363;487,933794;0;N/A;1,450216987;17,34;4,91
ADUS;Addus HomeCare Corporation;Healthcare;90,42;0;N/A;N/A;0;1466,128924;25,40951342;0;0,703266637;114,99;77,3
ADV;Advantage Solutions Inc.;N/A;3,75;0;N/A;N/A;0;1223,975993;N/A;0;1,933524685;4,39;1,13
AEIS;Advanced Energy Industries Inc.;Industrials;99,97;0,003990885;N/A;N/A;0,398968795;3726,94728;27,70408379;0,112069886;1,613507186;126;81,69
AEL;American Equity Investment Life Holding Co;Financial Services;55,23;0,006880319;N/A;N/A;0;4364,54114;7,11543068;0;0,811069021;56,09;31,57
AEO;American Eagle Outfitters Inc.;Consumer Cyclical;22,04;0,019109431;N/A;N/A;0,421171866;4353,745234;19,94267512;0,393618566;1,225514841;23,03;9,75
AEVA;Aeva Technologies Inc;N/A;0,9414;0;N/A;N/A;0;246,542322;N/A;0;2,537285301;2;0,465
AFCG;AFC Gamma Inc;N/A;11,2;0,160889486;N/A;N/A;1,801962246;229,126206;6,926727098;1,112322374;1,059179665;12,79;8,21
AFMD;Affimed N.V.;Healthcare;0,577;0;N/A;N/A;0;86,168796;0;N/A;1,42119794;1,11;0,2235
AGEN;Agenus Inc;Healthcare;0,7601;0;N/A;N/A;0;289,974708;N/A;0;1,489630452;2,13;0,527
AGIO;Agios Pharmaceuticals Inc;Healthcare;25,15;0;N/A;N/A;0;1405,665793;0,87761688;0;1,096135243;29,23;19,8
AGM;Federal Agricultural Mortgage Corp.;Financial Services;180,88;0,02432552;0,157894737;0,094608784;4,357141589;1826,991285;10,86124227;0,282931272;1,267388283;198,17;118,92
AGTI;Agiliti Inc;N/A;7,09;0;N/A;N/A;0;956,047058;N/A;0;1,886865096;19,68;5,07
AGX;Argan, Inc.;Industrials;45,16;0,024133104;0,2;0,037137289;1,089850991;601,886429;17,71661109;0,435940396;0,390137642;48,19;36,87
AGYS;Agilysys, Inc;Technology;87,88;0;N/A;N/A;0;2404,088868;28,07006595;0;1,218172762;91,61;62
AHCO;AdaptHealth Corp;Healthcare;7,22;0;N/A;N/A;0;984,733309;N/A;0;1,649525532;22,94;6,37
AHH;Armada Hoffler Properties Inc;Real Estate;11,35;0,066628351;N/A;N/A;0,756231779;765,002803;32,30449739;2,166232537;1,211834505;12,91;9,66
AHT;Ashford Hospitality Trust Inc;Real Estate;1,61;0;N/A;N/A;0;55,534284;N/A;0;2,271372392;6,35;1,24
AI;C3.ai Inc;Real Estate;28,74;0;N/A;N/A;0;3344,335992;N/A;0;3,664599874;48,87;16,79
AIN;Albany International Corp.;Consumer Cyclical;88,53;0,011362271;0,04;0,076316923;1,005901841;2762,136;27,95684211;0,318323367;1,142470243;103,79;77,99
AIP;Arteris Inc;N/A;6,97;0;N/A;N/A;0;256,87505;N/A;0;2,19553234;8,08;3,57
AIR;AAR Corp.;Industrials;62,75;0;N/A;N/A;0;2227,789029;32,66552828;0;0,900807739;73,95;49,06
AIRS;Airsculpt Technologies Inc;N/A;6,61;0;N/A;N/A;0;379,121018;N/A;0;2,037119729;9,94;4,29
AIT;Applied Industrial Technologies Inc.;Industrials;182,08;0,008128295;0,057142857;0,036019682;1,04919725;7040,936187;18,80310687;0,11009415;1,071374142;189,48;121,95
AIV;Apartment Investment & Management Co.;Real Estate;7,34;0;N/A;N/A;0;1069,875992;N/A;0;1,210757274;8,93;5,63
AJRD;Aerojet Rocketdyne Holdings Inc;Industrials;57,99;0;N/A;N/A;0;4683,208089;63,45810419;0;0,469332737;58,01;39,18
AKA;a.k.a. Brands Holding Corp;N/A;9,74;0;N/A;N/A;0;103,509025;N/A;0;0,959208002;22,08;3,6
AKR;Acadia Realty Trust;Real Estate;16,78;0,042908224;N/A;N/A;0,707719032;1599,82292;66,50687673;2,800629331;1,255907904;17,73;11,94
AKRO;Akero Therapeutics Inc;Healthcare;20,59;0;N/A;N/A;0;1146,863;0;N/A;1,077989149;58,38;11,25
AKTS;Akoustis Technologies Inc;Technology;0,6212;0;N/A;N/A;0;61,25142;N/A;0;3,259247565;4,26;0,45
AKYA;Akoya Biosciences Inc;N/A;5,39;0;N/A;N/A;0;264,520572;N/A;0;1,835315697;12,9;3,04
ALCO;Alico Inc.;Consumer Defensive;28,26;0,007037155;0;-0,035807496;0,198870009;215,362932;4,493280449;0,031566668;0,65924353;30,89;22,32
ALE;Allete, Inc.;Utilities;57,11;0,049378393;0,040590406;0,037137289;2,007463447;3282,5346;13,27349211;0,465768781;0,500393051;64,36;48,67
ALEC;Alector Inc;Healthcare;6,04;0;N/A;N/A;0;573,83592;N/A;0;1,276901069;9,86;3,66
ALEX;Alexander & Baldwin Inc.;Real Estate;17,05;0,050826903;N/A;N/A;0,866598691;1236,744171;N/A;N/A;0,97005786;19,5;15,38
ALG;Alamo Group Inc.;Industrials;212,25;0,004326677;0,181818182;0,167235319;0,91833718;2549,500517;19,05413569;0,082141072;1,059920228;231,4;154,19
ALGT;Allegiant Travel;Industrials;78,03;0,015225565;N/A;N/A;1,18805087;1435,844075;8,614995532;0,127064264;1,465987853;126,86;53,78
ALHC;Alignment Healthcare Inc;N/A;6,44;0;N/A;N/A;0;1217,802628;N/A;0;1,223839791;11,31;4,88
ALIT;Alight Inc.;N/A;9,28;0;N/A;N/A;0;4650,981915;N/A;0;1,408089705;10,19;6,33
ALKS;Alkermes plc;Healthcare;27,23;0;N/A;N/A;0;4544,177418;21,16287615;0;;33,71;22,01
ALKT;Alkami Technology Inc;N/A;25,22;0;N/A;N/A;0;2405,024268;N/A;0;1,584996113;26,42;10,93
ALLO;Allogene Therapeutics Inc;Healthcare;4,61;0;N/A;N/A;0;775,755412;N/A;0;1,61476704;7,3;2,23
ALPN;Alpine Immune Sciences Inc;Healthcare;28,77;0;N/A;N/A;0;1671,478338;N/A;0;1,679522226;30,65;6,4
ALRM;Alarm.com Holdings Inc;Technology;65,54;0;N/A;N/A;0;3276,199363;48,30442562;0;1,213116848;68,62;44,92
ALRS;Alerus Financial Corp;Financial Services;21,61;0,035168903;0,055555556;0,062980048;0,729624654;427,35949;11,4389585;0,394391705;1,30292813;25,85;12,37
ALTG;Alta Equipment Group Inc;Industrials;10,92;0,01558446;N/A;N/A;0,170182307;353,459783;49,78306803;0,781728557;1,651626107;20,33;8,71
ALTO;Alto Ingredients Inc;N/A;1,94;0;N/A;N/A;0;147,709854;N/A;0;1,968103046;4,97;1,2
ALTR;Altair Engineering Inc;Technology;85,9;0;N/A;N/A;0;4690,14;N/A;0;1,073508604;92,92;53,92
ALVR;AlloVir Inc;N/A;0,6678;0;N/A;N/A;0;76,041125;0;N/A;2,261972633;7,24;0,6231
ALX;Alexander`s Inc.;Real Estate;217,37;0,0606852;N/A;N/A;13,19114183;1110,171627;11,17952577;0,681360632;0,907815419;235,85;148,49
ALXO;Alx Oncology Holdings Inc;N/A;14,16;0;N/A;N/A;0;705,434378;0;N/A;1,503218043;16;3,94
AMAL;Amalgamated Financial Corp;Financial Services;23,5;0,016814432;0;0,107566343;0,395139163;714,249718;7,932318087;0,135321631;1,32348962;27,55;13,68
AMBA;Ambarella Inc;Technology;52,25;0;N/A;N/A;0;2102,961814;N/A;0;1,918481503;97,39;43,59
AMBC;AMBAC Financial Group Inc.;Financial Services;15,6;0;N/A;N/A;0;705,034777;3,560781703;0;0,690070953;17,75;11,26
AMCX;AMC Networks Inc;Communication Services;13,4;0;N/A;N/A;0;429,833596;N/A;0;1,988095733;27,46;9,96
AMEH;Apollo Medical Holdings Inc;Healthcare;36,34;0;N/A;N/A;0;2118,025624;50,57005526;0;1,382347174;40,81;28,87
AMK;Assetmark Financial Holdings Inc;Financial Services;31,11;0;N/A;N/A;0;2310,395287;20,25294571;0;1,113682526;33;22,92
AMKR;AMKOR Technology Inc.;Technology;29,91;0,010100528;N/A;N/A;0,302106788;7351,878;18,08348748;0,183095023;1,868200843;34,44;17,48
AMLX;Amylyx Pharmaceuticals Inc;N/A;14,96;0;N/A;N/A;0;1010,065585;550,1446541;0;1,050690295;38,32;11,82
AMN;AMN Healthcare Services Inc.;Healthcare;76,42;0;N/A;N/A;0;2887,846079;10,31421487;0;0,62091359;112,44;57,8
AMNB;American National Bankshares Inc.;Financial Services;43,57;0,026892685;0;0,037137289;1,171714307;463,104964;15,3763518;0,41257546;1,373930574;50,76;23,99
AMPH;Amphastar Pharmaceuticals Inc;Healthcare;54,75;0;N/A;N/A;0;2622,930752;19,38732622;0;0,767102259;67,66;31,81
AMPL;Amplitude Inc;N/A;13,75;0;N/A;N/A;0;1150,441545;N/A;0;1,703980984;16,95;8,5
AMPS;Altus Power Inc;N/A;6,58;0;N/A;N/A;0;1046,153891;12,21357645;0;1,957582108;7,79;4,08
AMPY;Amplify Energy Corp.;Energy;6;0;N/A;N/A;0;234,5802;0;N/A;0,826770792;10,23;5,47
AMR;Alpha Metallurgical Resources Inc;N/A;380,22;0,005086196;N/A;N/A;1,933873588;5768,108879;7,524078265;0,03872394;0,99974907;411,2;131,75
AMRC;Ameresco Inc.;Industrials;21,92;0;N/A;N/A;0;750,420788;0;N/A;2,56236139;63,19;18,4
AMRK;A-Mark Precious Metals Inc;Financial Services;25,99;0,029510835;N/A;N/A;0,766986596;593,989495;0;N/A;1,022561686;38,98;22,97
AMRS;Amyris Inc;Basic Materials;0,05;0;N/A;N/A;0;0;0;N/A;;;
AMRX;Amneal Pharmaceuticals Inc;Healthcare;5,6;0;N/A;N/A;0;1716,647514;166,2934723;0;1,67323271;6,3;1,24
AMSF;Amerisafe Inc;Financial Services;49,25;0,024678064;0;0,047184079;1,21539467;944,701138;14,82930913;0,367188722;0,491169497;51,55;40,26
AMSWA;American Software Inc.;Technology;10,62;0,040628591;0;0;0,431475633;343,502445;0;N/A;0,715333514;14,15;9,29
AMTB;Amerant Bancorp Inc;Financial Services;21,52;0,008347971;N/A;N/A;0,179648326;722,574759;10,56720278;0,088496713;1,503426277;28,79;15,43
AMTX;Aemetis Inc;Energy;3,37;0;N/A;N/A;0;133,136116;0;N/A;3,006525718;8,99;1,16
AMWD;American Woodmark Corp.;Consumer Cyclical;89,16;0;N/A;N/A;0;1464,062301;12,94942775;0;1,615877034;96,96;47,98
AMWL;American Well Corporation;N/A;1,06;0;N/A;N/A;0;269,900681;N/A;0;2,33988345;3,93;0,9251
ANAB;AnaptysBio Inc;Healthcare;22,01;0;N/A;N/A;0;584,919668;N/A;0;0,771193676;27,48;13,36
